day,hour,time_period,predicted_engagement,predicted_likes,predicted_retweets
Monday,13,afternoon,149.84422835077584,109.651122268591,72.96951744764243
Monday,11,morning,149.84332640468267,129.08758612156643,74.03085137085138
Tuesday,10,morning,147.97116181710456,143.54054582744024,31.980697631208642
Thursday,18,evening,147.02369603986253,106.85249168086375,76.27439782032455
Wednesday,22,night,147.01065110335728,120.47474455227186,39.51100131049195
Friday,11,morning,146.68027068819845,133.19585899907176,41.75493976940337
Thursday,3,night,146.3825513230346,119.68439672496028,45.8536612224246
Monday,12,afternoon,146.18021028550774,115.2646473782527,51.36962928025427
Tuesday,20,evening,145.53275291717628,118.31819276325294,49.927662490287474
Tuesday,2,night,145.05910947757857,43.54922208747209,114.03845238095238
Monday,20,evening,144.62910207783267,97.44949658922586,84.1154431818182
Tuesday,13,afternoon,142.55164766173132,112.16670569461564,71.93106072837098
Friday,7,morning,141.0545636868157,114.80900635394354,68.04271425768175
Saturday,18,evening,139.96111659531158,83.79548824642201,104.77148539909955
Friday,19,evening,139.8859587839342,126.42034896313143,29.233147923767618
Saturday,7,morning,139.37180247002937,120.38465335997046,46.82082064231697
Saturday,6,morning,137.89695299730397,87.79926155536981,92.86166844991432
Friday,12,afternoon,137.2204621275001,144.45906211553802,50.72410816342768
Wednesday,23,night,136.2571039834377,122.37009867160982,26.6742111260387
Friday,18,evening,136.19239284986827,126.09806525554153,32.160581638539966
Saturday,20,evening,135.77792896373353,123.92285790657581,80.95496454502126
Monday,5,night,135.21273048588836,100.0204459858597,62.204158369408376
Friday,20,evening,132.12407098536625,137.83427032668055,16.09853342595985
Friday,13,afternoon,130.88938983146457,116.35614256981472,46.5037856511998
Wednesday,4,night,127.3241557374645,76.23356714335574,61.602112306810824
Sunday,21,night,126.85287498792623,95.16887753889281,55.64236879694684
Friday,6,morning,123.03553062947569,86.61463349002561,60.92157864663877
Saturday,23,night,122.52155746460832,76.82386988304093,62.06107142857143
Tuesday,3,night,121.24981997329198,86.49161339181994,82.97187963702255
Monday,4,night,117.9148206793207,111.08259270025641,26.309089466089468
Tuesday,23,night,113.09300174172233,60.107909897292274,39.357336219336226
Saturday,3,night,91.47883428662816,75.96349072296107,37.383906703032075
